Comment,Designator,Footprint,LCSC
27pF,"C751,C805,C813,C821,C829,C837,C845,C853,C861,C869,C877,C885,C893,C901,C909,C917,C925,C933,C941,C949",C_0603_1608Metric,C107045
15pF ,"C1555,C1575,C1576,C1577,C1578,C1579,C1580,C1581,C1582,C1583",C_0805_2012Metric,C107110
30pF ,"C1559,C1611,C1612,C1613,C1614,C1615,C1616,C1617,C1618,C1619",C_0805_2012Metric,C107114
33pF ,"C1560,C1620,C1621,C1622,C1623,C1624,C1625,C1626,C1627,C1628",C_0805_2012Metric,C107115
220pF ,"C1564,C1666,C1667,C1668,C1669,C1670,C1671,C1672,C1673,C1674,C1675,C1676,C1677,C1678,C1679",C_0805_2012Metric,C107145
2.2uF,"C260,C276,C292,C308,C324,C340,C356,C36,C372,C388,C404,C420,C436,C452,C468,C484,C500,C516,C532,C548",C_0402_1005Metric,C12530
22uF,"C1551,C1965,C1969,C1973,C1977,C1981,C1985,C1989,C1993,C1997",C_1206_3216Metric,C12891
330pF,"C107,C130,C153,C176,C199,C222,C245,C31,C61,C644,C649,C654,C659,C664,C84",C_0402_1005Metric,C13533
10uF,"C1552,C2008,C2017,C2026,C2035,C2044,C2053,C2062,C2071,C2080,C2089,C2098,C2107,C2116,C2125",C_1206_3216Metric,C13585
470nF ,"C1707,C1852,C1853,C1854,C1855,C1856,C1857,C1858,C1859,C1860,C1861,C1862,C1863,C1864,C1865",C_0805_2012Metric,C13967
68pF,"C103,C126,C149,C172,C195,C218,C241,C27,C57,C80",C_0402_1005Metric,C14441
100nF,"C1064,C1088,C1112,C1136,C1160,C1184,C1208,C1232,C1256,C1280,C1304,C1328,C1352,C1376,C1400,C1424,C1448,C1472,C1496,C752",C_0603_1608Metric,C14663
47pF ,"C1561,C1629,C1630,C1631,C1632,C1633,C1634,C1635,C1636,C1637",C_0805_2012Metric,C14857
100pF,"C1010,C1021,C1032,C1043,C1506,C1513,C1520,C1527,C1534,C753,C955,C966,C977,C988,C999",C_0603_1608Metric,C14858
100uF,"C1549,C1967,C1971,C1975,C1979,C1983,C1987,C1991,C1995,C1999",C_1206_3216Metric,C15008
10nF,"C10,C252,C268,C284,C300,C316,C332,C348,C364,C380,C396,C412,C428,C444,C460,C476,C492,C508,C524,C540",C_0402_1005Metric,C15195
