Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1nF,C_0402_1005Metric,64.578529,146.429168,0.0,top
C2,1pF,C_0402_1005Metric,18.958897,153.238955,0.0,top
C3,1.5pF,C_0402_1005Metric,23.060205,153.247241,0.0,top
C4,2.2nF,C_0402_1005Metric,72.340329,146.424332,0.0,top
C5,3.3nF,C_0402_1005Metric,80.068897,146.428955,0.0,top
C6,4.7nF,C_0402_1005Metric,87.807075,146.336484,0.0,top
C7,2.2pF,C_0402_1005Metric,27.272069,153.233237,0.0,top
C8,2.7pF,C_0402_1005Metric,31.428897,153.238955,0.0,top
C9,6.8nF,C_0402_1005Metric,95.531471,146.340075,0.0,top
C10,10nF,C_0402_1005Metric,103.303376,146.433451,0.0,top
C11,3.3pF,C_0402_1005Metric,35.659682,153.241076,0.0,top
C12,22nF,C_0402_1005Metric,19.018897,139.738955,0.0,top
C13,33nF,C_0402_1005Metric,26.7618,139.737658,0.0,top
C14,4.7pF,C_0402_1005Metric,39.869411,153.2297,0.0,top
C15,6.8pF,C_0402_1005Metric,44.078453,153.216734,0.0,top
C16,10pF,C_0402_1005Metric,48.207866,153.217899,0.0,top
C17,12pF,C_0402_1005Metric,56.153274,153.231128,0.0,top
C18,15pF,C_0402_1005Metric,64.007361,153.175033,0.0,top
C19,18pF,C_0402_1005Metric,71.951639,153.249893,0.0,top
C20,100nF,C_0402_1005Metric,34.486018,139.764319,0.0,top
C21,20pF,C_0402_1005Metric,79.836334,153.21839,0.0,top
C22,22pF,C_0402_1005Metric,87.720746,153.227392,0.0,top
C23,27pF,C_0402_1005Metric,95.6091,153.256069,0.0,top
C24,30pF,C_0402_1005Metric,103.477462,153.244692,0.0,top
C25,33pF,C_0402_1005Metric,18.988897,146.398955,0.0,top
C26,47pF,C_0402_1005Metric,26.791794,146.391161,0.0,top
C27,68pF,C_0402_1005Metric,30.752806,146.376214,0.0,top
C28,100pF,C_0402_1005Metric,34.738897,146.438955,0.0,top
C29,150pF,C_0402_1005Metric,40.757009,146.440985,0.0,top
C30,220pF,C_0402_1005Metric,46.768897,146.438955,0.0,top
C31,330pF,C_0402_1005Metric,52.629617,146.438955,0.0,top
C32,100nF,C_0402_1005Metric,42.229368,139.747559,0.0,top
C33,220nF,C_0402_1005Metric,57.545576,139.742728,0.0,top
C34,470nF,C_0402_1005Metric,65.426206,139.730407,0.0,top
C35,1uF,C_0402_1005Metric,73.202514,139.725208,0.0,top
C36,2.2uF,C_0402_1005Metric,88.498897,139.738955,0.0,top
C37,470pF,C_0402_1005Metric,58.544816,146.438165,0.0,top
C38,4.7uF,C_0402_1005Metric,96.247984,139.752648,0.0,top
C39,10uF,C_0402_1005Metric,104.078309,139.749594,0.0,top
C40,1pF,C_0402_1005Metric,18.958897,152.248955,0.0,top
C41,1.5pF,C_0402_1005Metric,23.060205,152.247241,0.0,top
C42,2.2pF,C_0402_1005Metric,27.272069,152.233237,0.0,top
C43,2.7pF,C_0402_1005Metric,31.458897,152.238955,0.0,top
C44,3.3pF,C_0402_1005Metric,35.659682,152.241076,0.0,top
C45,4.7pF,C_0402_1005Metric,39.869411,152.2297,0.0,top
C46,6.8pF,C_0402_1005Metric,44.078453,152.236734,0.0,top
C47,10pF,C_0402_1005Metric,48.207866,152.237899,0.0,top
C48,12pF,C_0402_1005Metric,56.143274,152.231128,0.0,top
C49,15pF,C_0402_1005Metric,63.987361,152.175033,0.0,top
C50,18pF,C_0402_1005Metric,71.951639,152.249893,0.0,top
C51,20pF,C_0402_1005Metric,79.836334,152.24839,0.0,top
C52,22pF,C_0402_1005Metric,87.730746,152.227392,0.0,top
C53,27pF,C_0402_1005Metric,95.6191,152.256069,0.0,top
C54,30pF,C_0402_1005Metric,103.477462,152.244692,0.0,top
C55,33pF,C_0402_1005Metric,18.988897,145.418955,0.0,top
C56,47pF,C_0402_1005Metric,26.811794,145.421161,0.0,top
C57,68pF,C_0402_1005Metric,30.772806,145.406214,0.0,top
C58,100pF,C_0402_1005Metric,34.738897,145.438955,0.0,top
C59,150pF,C_0402_1005Metric,40.757009,145.440985,0.0,top
C60,220pF,C_0402_1005Metric,46.768897,145.438955,0.0,top
C61,330pF,C_0402_1005Metric,52.629617,145.438955,0.0,top
C62,470pF,C_0402_1005Metric,58.544816,145.438165,0.0,top
C63,1pF,C_0402_1005Metric,18.988897,151.238955,0.0,top
C64,1.5pF,C_0402_1005Metric,23.060205,151.247241,0.0,top
C65,2.2pF,C_0402_1005Metric,27.272069,151.233237,0.0,top
C66,2.7pF,C_0402_1005Metric,31.458897,151.238955,0.0,top
C67,3.3pF,C_0402_1005Metric,35.659682,151.241076,0.0,top
C68,4.7pF,C_0402_1005Metric,39.869411,151.2297,0.0,top
C69,6.8pF,C_0402_1005Metric,44.078453,151.236734,0.0,top
C70,10pF,C_0402_1005Metric,48.197866,151.237899,0.0,top
C71,12pF,C_0402_1005Metric,56.143274,151.231128,0.0,top
C72,15pF,C_0402_1005Metric,64.017361,151.253664,0.0,top
C73,18pF,C_0402_1005Metric,71.951639,151.249893,0.0,top
C74,20pF,C_0402_1005Metric,79.846334,151.24839,0.0,top
